Primary Sponsor,Agreement Type,On Off Campus Status,No Accts,Graduate Students,Other Salaries,Employee Benefits,Operating Expenses,Indirect Expenses,FYTD Amount
011110 Agence Francaise de Developpemen,Total by Primary Sponsor,,10,"10,690","43,027","14,634","9,722","35,664","113,737"
"011119 Ministry of Education, Science and
Technology",Contracts,On Campus,7,"3,996","17,283","6,303","5,752","16,667","50,000"
"011119 Ministry of Education, Science and
Technology",Total by Primary Sponsor,,7,"3,996","17,283","6,303","5,752","16,667","50,000"
"011148 Bioiberica, S.A.",Contracts,On Campus,6,,"21,541","6,215","28,513","31,893","88,161"
"011148 Bioiberica, S.A.",Total by Primary Sponsor,,6,,"21,541","6,215","28,513","31,893","88,161"
011173 Austrian Institute of Technology,Contracts,On Campus,18,"47,382","10,565","1,009","85,605","54,934","199,495"
011173 Austrian Institute of Technology,Total by Primary Sponsor,,18,"47,382","10,565","1,009","85,605","54,934","199,495"
"011178 American Air Liquide, Inc",Contracts,Off Campus,9,"21,978",,,"10,802",989,"33,770"
"011178 American Air Liquide, Inc",Total by Primary Sponsor,,9,"21,978",,,"10,802",989,"33,770"
011180 EMD Millipore Corporation,Contracts,On Campus,6,"7,467","29,379","10,723","5,932","26,642","80,144"
011180 EMD Millipore Corporation,Total by Primary Sponsor,,6,"7,467","29,379","10,723","5,932","26,642","80,144"
"011181 VT iDirect, Inc.",Contracts,On Campus,10,"52,675","35,605","12,996","53,127","59,264","213,668"
"011181 VT iDirect, Inc.",Total by Primary Sponsor,,10,"52,675","35,605","12,996","53,127","59,264","213,668"
"011187 University Industry Research
Corporation",Contracts,On Campus,65,"143,435","204,830","71,755","452,091","336,269","1,208,381"
"011187 University Industry Research
Corporation",Total by Primary Sponsor,,65,"143,435","204,830","71,755","452,091","336,269","1,208,381"
011201 Jain Irrigation Systems Ltd,Contracts,On Campus,8,"14,331",,,"48,068","10,933","73,332"
011201 Jain Irrigation Systems Ltd,Total by Primary Sponsor,,8,"14,331",,,"48,068","10,933","73,332"
011205 Qatar Foundation,Contracts,On Campus,162,"663,514","1,429,613","477,398","1,336,312","1,562,702","5,469,539"
011205 Qatar Foundation,Total by Primary Sponsor,,162,"663,514","1,429,613","477,398","1,336,312","1,562,702","5,469,539"
011219 Lundbeck Foundation,Grants,On Campus,1,,,,,,0
011219 Lundbeck Foundation,Total by Primary Sponsor,,1,,,,,,0
011226 Hess Corporation - Global Geophysi,Contracts,On Campus,4,"39,445",,,"44,155","28,668","112,268"
011226 Hess Corporation - Global Geophysi,Total by Primary Sponsor,,4,"39,445",,,"44,155","28,668","112,268"
011227 Canadian Wind Energy Association,Grants,On Campus,4,,"-8,033","-2,249",,"-5,758","-16,041"
011227 Canadian Wind Energy Association,Total by Primary Sponsor,,4,,"-8,033","-2,249",,"-5,758","-16,041"
011249 PTT Public Company Limited,Contracts,On Campus,3,,,,"9,873","5,529","15,402"
011249 PTT Public Company Limited,Total by Primary Sponsor,,3,,,,"9,873","5,529","15,402"
011258 Takata AG,Grants,On Campus,9,,"4,426","1,878","1,165","3,966","11,435"
011258 Takata AG,Total by Primary Sponsor,,9,,"4,426","1,878","1,165","3,966","11,435"
011263 Center for Curriculum Redesign,Grants,On Campus,4,"26,500",,,"21,635","14,857","62,992"
011263 Center for Curriculum Redesign,Total by Primary Sponsor,,4,"26,500",,,"21,635","14,857","62,992"
"011271 Boston-Power, Inc.",Contracts,On Campus,4,"28,846",,,"32,466","18,076","79,388"
"011271 Boston-Power, Inc.",Total by Primary Sponsor,,4,"28,846",,,"32,466","18,076","79,388"
"011278 Bermuda Institute of Ocean Science
Inc.",Grants,On Campus,4,"29,304",,,"21,130","16,410","66,844"
"011278 Bermuda Institute of Ocean Science
Inc.",Total by Primary Sponsor,,4,"29,304",,,"21,130","16,410","66,844"
011314 Cadogan Petroleum PLC,Contracts,On Campus,8,"28,960","34,187","12,478","18,758","46,143","140,526"
011314 Cadogan Petroleum PLC,Total by Primary Sponsor,,8,"28,960","34,187","12,478","18,758","46,143","140,526"
011318 Verizon Foundation,Grants,On Campus,7,,"50,027","16,984","48,315","64,582","179,907"
011318 Verizon Foundation,Total by Primary Sponsor,,7,,"50,027","16,984","48,315","64,582","179,907"
011322 DuPont Performance Coatings,Contracts,On Campus,8,"29,242","5,699","1,876","37,716","24,018","98,552"
011322 DuPont Performance Coatings,Total by Primary Sponsor,,8,"29,242","5,699","1,876","37,716","24,018","98,552"
"011324 Cellora, LLC",Contracts,On Campus,7,,"42,380","15,469","66,983","69,859","194,691"
"011324 Cellora, LLC",Total by Primary Sponsor,,7,,"42,380","15,469","66,983","69,859","194,691"
"011345 The Children's Investment Fund
Foundation",Grants,On Campus,5,,"38,985","14,229","-1,131","5,321","57,405"
"011345 The Children's Investment Fund
Foundation",Total by Primary Sponsor,,5,,"38,985","14,229","-1,131","5,321","57,405"
011351 Insurance Institute for Highway Safe,Grants,On Campus,8,,"16,347","6,229","78,801","52,996","154,373"
011351 Insurance Institute for Highway Safe,Total by Primary Sponsor,,8,,"16,347","6,229","78,801","52,996","154,373"
011354 MTR Corporation Limited,Contracts,On Campus,13,"78,561","59,127","20,217","73,182","93,112","324,199"
011354 MTR Corporation Limited,Total by Primary Sponsor,,13,"78,561","59,127","20,217","73,182","93,112","324,199"
011372 NewSchools Venture Fund,Grants,On Campus,7,0,"53,355","18,695","25,000","54,348","151,398"
011372 NewSchools Venture Fund,Total by Primary Sponsor,,7,0,"53,355","18,695","25,000","54,348","151,398"
011378 Brain Research Foundation,Grants,On Campus,5,,"24,195","8,831","20,510",0,"53,535"
011378 Brain Research Foundation,Total by Primary Sponsor,,5,,"24,195","8,831","20,510",0,"53,535"
011379 DCNS,Contracts,On Campus,11,"5,782","74,676","24,058","2,708","60,045","167,269"
011379 DCNS,Total by Primary Sponsor,,11,"5,782","74,676","24,058","2,708","60,045","167,269"
"011383 Edward Mallinckrodt, Jr. Foundation",Grants,On Campus,6,24,"30,909","11,282","44,840",0,"87,056"
"011383 Edward Mallinckrodt, Jr. Foundation",Total by Primary Sponsor,,6,24,"30,909","11,282","44,840",0,"87,056"
011396 Bert L. & N. Kuggie Vallee Foundatio,Grants,On Campus,6,"5,436","23,834","2,026","178,334","20,841","230,471"
011396 Bert L. & N. Kuggie Vallee Foundatio,Total by Primary Sponsor,,6,"5,436","23,834","2,026","178,334","20,841","230,471"
011402 Omidyar Network,Grants,On Campus,4,"2,500",,,"48,917","5,132","56,549"
011402 Omidyar Network,Total by Primary Sponsor,,4,"2,500",,,"48,917","5,132","56,549"
011407 Sanofi-Aventis Deutschland GmbH,Contracts,On Campus,7,,"22,954","8,378","47,859","41,336","120,528"
011407 Sanofi-Aventis Deutschland GmbH,Total by Primary Sponsor,,7,,"22,954","8,378","47,859","41,336","120,528"
"011410 Association of Global Automakers, Inc.",Grants,On Campus,9,,"46,326","16,398","26,209","44,125","133,058"
"011410 Association of Global Automakers, Inc.",Total by Primary Sponsor,,9,,"46,326","16,398","26,209","44,125","133,058"
"011417 Japan Superconductor Technology, Inc.",Contracts,On Campus,7,,"43,782","15,981","5,691","33,356","98,809"
"011417 Japan Superconductor Technology, Inc.",Total by Primary Sponsor,,7,,"43,782","15,981","5,691","33,356","98,809"
"011419 Private Enterprise Development in
Low-Income Countries",Contracts,On Campus,6,,"4,310",561,"1,118","1,198","7,187"
"011419 Private Enterprise Development in
Low-Income Countries",Total by Primary Sponsor,,6,,"4,310",561,"1,118","1,198","7,187"
011422 Phenosys GmbH,Grants,On Campus,3,,,,675,378,"1,053"
011422 Phenosys GmbH,Total by Primary Sponsor,,3,,,,675,378,"1,053"
"011429 The ALS Therapy Alliance, Inc.",Grants,On Campus,5,,"45,749","16,698","10,316",0,"72,763"
"011429 The ALS Therapy Alliance, Inc.",Total by Primary Sponsor,,5,,"45,749","16,698","10,316",0,"72,763"
"011432 Wuxi Jieyang Energy Saving
Technology Co., Ltd",Contracts,On Campus,4,,"31,903","11,645",,"24,387","67,935"
"011432 Wuxi Jieyang Energy Saving
Technology Co., Ltd",Total by Primary Sponsor,,4,,"31,903","11,645",,"24,387","67,935"
011434 NOF Corporation,Contracts,On Campus,7,,"61,531","22,459","39,935","69,349","193,273"
011434 NOF Corporation,Total by Primary Sponsor,,7,,"61,531","22,459","39,935","69,349","193,273"
011437 The Sontag Foundation,Grants,On Campus,4,"5,382",,,"64,549","10,490","80,420"
011437 The Sontag Foundation,Total by Primary Sponsor,,4,"5,382",,,"64,549","10,490","80,420"
011451 Guardian Industries Corp.,Contracts,On Campus,5,,"12,775","4,663","12,159","16,824","46,421"
011451 Guardian Industries Corp.,Total by Primary Sponsor,,5,,"12,775","4,663","12,159","16,824","46,421"
011452 Transamerica Capital Inc,Contracts,On Campus,9,,"161,144","58,818","22,413","128,400","370,774"
011452 Transamerica Capital Inc,Total by Primary Sponsor,,9,,"161,144","58,818","22,413","128,400","370,774"
011454 Intel Corporation,Contracts,On Campus,1,,,,,,0
011454 Intel Corporation,Total by Primary Sponsor,,1,,,,,,0
"011469 Norco Conservation, LLC",Contracts,On Campus,11,,"142,136","47,032","104,100","128,291","421,559"
"011469 Norco Conservation, LLC",Total by Primary Sponsor,,11,,"142,136","47,032","104,100","128,291","421,559"
011472 Schlumberger-Doll Research Center,Contracts,On Campus,11,"14,521","44,385","15,420","19,305","45,842","139,472"
011472 Schlumberger-Doll Research Center,Total by Primary Sponsor,,11,"14,521","44,385","15,420","19,305","45,842","139,472"
"011474 Servico Nacional de Aprendizagem
Industrial (SENAI)",Contracts,On Campus,1,,,,,,0
"011474 Servico Nacional de Aprendizagem
Industrial (SENAI)",Total by Primary Sponsor,,1,,,,,,0
"011488 Massachusetts Mutual Life Insurance
Company (MassMutual)",Contracts,On Campus,5,,"53,672","19,590","1,201","41,699","116,163"
"011488 Massachusetts Mutual Life Insurance
Company (MassMutual)",Total by Primary Sponsor,,5,,"53,672","19,590","1,201","41,699","116,163"
011489 Groupon,Contracts,On Campus,4,"50,972",,,"41,702","29,514","122,189"
011489 Groupon,Total by Primary Sponsor,,4,"50,972",,,"41,702","29,514","122,189"
011504 Lung Cancer Research Foundation,Contracts,On Campus,3,,,,"30,597",0,"30,597"
011504 Lung Cancer Research Foundation,Total by Primary Sponsor,,3,,,,"30,597",0,"30,597"
011506 Laura and John Arnold Foundation,Grants,On Campus,24,"19,875","155,484","47,908","55,452","27,872","306,591"
011506 Laura and John Arnold Foundation,Total by Primary Sponsor,,24,"19,875","155,484","47,908","55,452","27,872","306,591"
011507 Khalifa University of Science,Grants,On Campus,4,"2,771",,,"2,189","2,778","7,737"
011507 Khalifa University of Science,Total by Primary Sponsor,,4,"2,771",,,"2,189","2,778","7,737"
"011533 Lifan Industry (Group) Co., Ltd.",Contracts,On Campus,3,,,,"2,760","1,546","4,306"
"011533 Lifan Industry (Group) Co., Ltd.",Total by Primary Sponsor,,3,,,,"2,760","1,546","4,306"
"011545 Breast Cancer Alliance, Inc.",Contracts,On Campus,14,,"23,343","6,983","19,061","3,951","53,337"
"011545 Breast Cancer Alliance, Inc.",Total by Primary Sponsor,,14,,"23,343","6,983","19,061","3,951","53,337"
"011547 Morgan, Lewis & Bockius LLP",Grants,On Campus,8,,"60,650","21,920","32,123","53,786","168,479"
"011547 Morgan, Lewis & Bockius LLP",Total by Primary Sponsor,,8,,"60,650","21,920","32,123","53,786","168,479"
"011550 Harvard University - Weiss Family
Program",Grants,On Campus,3,,,,"75,160",0,"75,160"
"011550 Harvard University - Weiss Family
Program",Total by Primary Sponsor,,3,,,,"75,160",0,"75,160"
"011551 FDR - Foundation for Dystonia
Research",Grants,On Campus,1,,,,,,0
"011551 FDR - Foundation for Dystonia
Research",Total by Primary Sponsor,,1,,,,,,0
011560 Technic Inc.,Contracts,On Campus,5,,"2,439",890,"2,433","4,239","10,000"
011560 Technic Inc.,Total by Primary Sponsor,,5,,"2,439",890,"2,433","4,239","10,000"
011564 London Eye Hospital,Contracts,On Campus,6,"2,691","14,540","5,307","7,611","16,883","47,032"
011564 London Eye Hospital,Total by Primary Sponsor,,6,"2,691","14,540","5,307","7,611","16,883","47,032"
011568 Rio Tinto,Contracts,On Campus,8,"17,034","44,917","16,395","27,460","49,973","155,778"
011568 Rio Tinto,Total by Primary Sponsor,,8,"17,034","44,917","16,395","27,460","49,973","155,778"
011569 Waste Management,Contracts,On Campus,8,,"9,360","3,416",-75,"6,946","19,647"
011569 Waste Management,Total by Primary Sponsor,,8,,"9,360","3,416",-75,"6,946","19,647"
011581 King Innovation Inc.,Contracts,On Campus,5,,"7,893","2,881","6,674","9,771","27,219"
011581 King Innovation Inc.,Total by Primary Sponsor,,5,,"7,893","2,881","6,674","9,771","27,219"
"011595 BabyCenter, LLC",Contracts,On Campus,4,"22,050",,,"21,960","12,547","56,557"
"011595 BabyCenter, LLC",Total by Primary Sponsor,,4,"22,050",,,"21,960","12,547","56,557"
011602 Connecticut Children's Medical Cent,Grants,On Campus,4,,"9,783","3,571",,"7,478","20,832"
011602 Connecticut Children's Medical Cent,Total by Primary Sponsor,,4,,"9,783","3,571",,"7,478","20,832"
"011628 Skolkovo Institute of Science and
Technology",Contracts,On Campus,202,"176,204","306,358","107,956","416,889","487,897","1,495,303"
"011628 Skolkovo Institute of Science and
Technology",Total by Primary Sponsor,,202,"176,204","306,358","107,956","416,889","487,897","1,495,303"
"011635 Guodian New Energy Technology
Research Institute",Contracts,On Campus,5,,"19,621","7,162",,"14,998","41,781"
"011635 Guodian New Energy Technology
Research Institute",Total by Primary Sponsor,,5,,"19,621","7,162",,"14,998","41,781"
011642 ENEL Foundation,Contracts,On Campus,6,"21,915","1,315",480,"21,605",0,"45,315"
011642 ENEL Foundation,Total by Primary Sponsor,,6,"21,915","1,315",480,"21,605",0,"45,315"
011657 Anheuser-Busch InBev,Grants,On Campus,5,,2,1,52,29,84
011657 Anheuser-Busch InBev,Total by Primary Sponsor,,5,,2,1,52,29,84
011667 Motorola Mobility LLC,Contracts,On Campus,14,"21,614","39,324","14,353","21,137","40,641","137,068"
011667 Motorola Mobility LLC,Total by Primary Sponsor,,14,"21,614","39,324","14,353","21,137","40,641","137,068"
"011673 ProMuc, Inc.",Grants,On Campus,3,,,,"1,173",657,"1,830"
"011673 ProMuc, Inc.",Total by Primary Sponsor,,3,,,,"1,173",657,"1,830"
011677 Enel Ingegneria e Ricerca S.p.A.,Contracts,On Campus,9,"27,708","47,954","5,281","9,999","42,250","133,192"
011677 Enel Ingegneria e Ricerca S.p.A.,Total by Primary Sponsor,,9,"27,708","47,954","5,281","9,999","42,250","133,192"
"011685 Samsung Information Systems
America, Inc.",Contracts,On Campus,3,,"14,125","1,201",,"8,582","23,908"
"011685 Samsung Information Systems
America, Inc.",Total by Primary Sponsor,,3,,"14,125","1,201",,"8,582","23,908"
011689 BASF Corporation,Contracts,On Campus,6,"47,655","40,175","14,664","40,152","61,733","204,378"
011689 BASF Corporation,Total by Primary Sponsor,,6,"47,655","40,175","14,664","40,152","61,733","204,378"
011693 Versalis S.p.A.,Contracts,On Campus,7,"3,464","10,976","4,006","73,937","12,980","105,363"
011693 Versalis S.p.A.,Total by Primary Sponsor,,7,"3,464","10,976","4,006","73,937","12,980","105,363"
"011694 Melanoma Research Alliance
Foundation",Grants,On Campus,7,,,,"1,225",0,"1,225"
"011694 Melanoma Research Alliance
Foundation",Total by Primary Sponsor,,7,,,,"1,225",0,"1,225"
011700 The Sano Educational Foundation,Contracts,On Campus,6,,"13,497","3,198","11,233","15,640","43,569"
011700 The Sano Educational Foundation,Total by Primary Sponsor,,6,,"13,497","3,198","11,233","15,640","43,569"
011702 QUANTUM-SI INC,Contracts,On Campus,9,,"21,249","6,868","3,781","16,699","48,597"
011702 QUANTUM-SI INC,Total by Primary Sponsor,,9,,"21,249","6,868","3,781","16,699","48,597"
"011707 Jinan Urban Transport Research
Center",Contracts,On Campus,5,"22,260","2,615",955,,"14,465","40,294"
"011707 Jinan Urban Transport Research
Center",Total by Primary Sponsor,,5,"22,260","2,615",955,,"14,465","40,294"
011723 Takeda Pharmaceuticals,Contracts,On Campus,1,,,,,,0
011723 Takeda Pharmaceuticals,Total by Primary Sponsor,,1,,,,,,0
"011729 Sustainable Insight Capital
Management",Contracts,On Campus,4,,784,286,,600,"1,670"
"011729 Sustainable Insight Capital
Management",Total by Primary Sponsor,,4,,784,286,,600,"1,670"
011747 StemBiosys,Contracts,On Campus,6,,"5,229","1,704","5,058","6,715","18,706"
011747 StemBiosys,Total by Primary Sponsor,,6,,"5,229","1,704","5,058","6,715","18,706"
"011748 General Research Institute for
Nonferrous Metals",Contracts,On Campus,3,,,,"5,276",125,"5,402"
"011748 General Research Institute for
Nonferrous Metals",Total by Primary Sponsor,,3,,,,"5,276",125,"5,402"
011749 UBI Banca - Unione di Banche Italia,Contracts,On Campus,1,,,,,,0
011749 UBI Banca - Unione di Banche Italia,Total by Primary Sponsor,,1,,,,,,0
011756 Statoil Petroleum AS,Contracts,On Campus,1,,,,,,0
011756 Statoil Petroleum AS,Total by Primary Sponsor,,1,,,,,,0
"011853 Virginia Department of Mines, Minerals, and Energy",Contracts,On Campus,5,"8,493","1,136",,"5,163","5,393","20,185"
"011853 Virginia Department of Mines, Minerals, and Energy",Total by Primary Sponsor,,5,"8,493","1,136",,"5,163","5,393","20,185"
011854 Edwards Lifesciences LLC,Contracts,On Campus,6,"6,136","9,600","3,504","6,474","10,963","36,677"
011854 Edwards Lifesciences LLC,Total by Primary Sponsor,,6,"6,136","9,600","3,504","6,474","10,963","36,677"
999903 MIT - Deshpande Center,Grants,On Campus,31,0,"33,800","11,010","9,268","31,086","85,163"
999903 MIT - Deshpande Center,Total by Primary Sponsor,,31,0,"33,800","11,010","9,268","31,086","85,163"
N/A Not Applicable,,On Campus,7,,"-105,771","-35,056","-110,956","-7,598","-259,381"
N/A Not Applicable,Total by Primary Sponsor,,7,,"-105,771","-35,056","-110,956","-7,598","-259,381"
Total Research,,,"54,902","58,906,037","150,190,423","50,377,885","236,944,858","181,991,982","678,411,184"
